COD_REGIAO;COD_UF;COD_MUNICIPIO;COD_UFMUN
2;22;07108;2207108
2;22;07207;2207207
2;22;07306;2207306
2;22;07355;2207355
2;22;07405;2207405
2;22;07504;2207504
2;22;07553;2207553
2;22;07603;2207603
2;22;07702;2207702
2;22;07751;2207751
2;22;07777;2207777
2;22;07793;2207793
2;22;07801;2207801
2;22;07850;2207850
2;22;07900;2207900
2;22;07934;2207934
2;22;08007;2208007
2;22;08106;2208106
2;22;08205;2208205
2;22;08304;2208304
2;22;08403;2208403
2;22;08502;2208502
2;22;08551;2208551
2;22;08601;2208601
2;22;08650;2208650
2;22;08700;2208700
2;22;08809;2208809
2;22;08858;2208858
2;22;08874;2208874
2;22;08908;2208908
2;22;09005;2209005
2;22;09104;2209104
2;22;09153;2209153
2;22;09203;2209203
2;22;09302;2209302
2;22;09377;2209377
2;22;09351;2209351
2;22;09401;2209401
2;22;09450;2209450
2;22;09500;2209500
2;22;09559;2209559
2;22;09609;2209609
2;22;09658;2209658
2;22;09708;2209708
2;22;09757;2209757
2;22;09807;2209807
2;22;09856;2209856
2;22;09872;2209872
2;22;09906;2209906
2;22;09955;2209955
2;22;09971;2209971
2;22;10003;2210003
2;22;10052;2210052
2;22;10102;2210102
2;22;10201;2210201
2;22;10300;2210300
2;22;10359;2210359
2;22;10375;2210375
2;22;10383;2210383
2;22;10391;2210391
2;22;10409;2210409
2;22;10508;2210508
2;22;10607;2210607
2;22;10623;2210623
2;22;10631;2210631
2;22;10656;2210656
2;22;10706;2210706
2;22;10805;2210805
2;22;10904;2210904
2;22;10938;2210938
2;22;10953;2210953
2;22;10979;2210979
2;22;11001;2211001
2;22;11100;2211100
2;22;11209;2211209
2;22;11308;2211308
2;22;11357;2211357
2;22;11407;2211407
2;22;11506;2211506
2;22;11605;2211605
2;22;11704;2211704
2;23;00101;2300101
2;23;00150;2300150
2;23;00200;2300200
2;23;00309;2300309
2;23;00408;2300408
2;23;00507;2300507
2;23;00606;2300606
2;23;00705;2300705
2;23;00754;2300754
2;23;00804;2300804
2;23;00903;2300903
2;23;01000;2301000
2;23;01109;2301109
2;23;01208;2301208
2;23;01257;2301257
2;23;01307;2301307
2;23;01406;2301406
2;23;01505;2301505
2;23;01604;2301604
2;23;01703;2301703
2;23;01802;2301802
2;23;01851;2301851
2;23;01901;2301901
2;23;01950;2301950
2;23;02008;2302008
2;23;02057;2302057
2;23;02107;2302107
2;23;02206;2302206
2;23;02305;2302305
2;23;02404;2302404
2;23;02503;2302503
2;23;02602;2302602
2;23;02701;2302701
2;23;02800;2302800
2;23;02909;2302909
2;23;03006;2303006
2;23;03105;2303105
2;23;03204;2303204
2;23;03303;2303303
2;23;03402;2303402
2;23;03501;2303501
2;23;03600;2303600
2;23;03659;2303659
2;23;03709;2303709
2;23;03808;2303808
2;23;03907;2303907
2;23;03931;2303931
2;23;03956;2303956
2;23;04004;2304004
2;23;04103;2304103
2;23;04202;2304202
2;23;04236;2304236
2;23;04251;2304251
2;23;04269;2304269
2;23;04277;2304277
2;23;04285;2304285
2;23;04301;2304301
2;23;04350;2304350
2;23;04400;2304400
2;23;04459;2304459
2;23;04509;2304509
2;23;04608;2304608
2;23;04657;2304657
2;23;04707;2304707
2;23;04806;2304806
2;23;04905;2304905
2;23;04954;2304954
2;23;05001;2305001
2;23;05100;2305100
2;23;05209;2305209
2;23;05233;2305233
2;23;05266;2305266
2;23;05308;2305308
2;23;05332;2305332
2;23;05357;2305357
2;23;05407;2305407
2;23;05506;2305506
2;23;05605;2305605
2;23;05654;2305654
2;23;05704;2305704
2;23;05803;2305803
2;23;05902;2305902
2;23;06009;2306009
2;23;06108;2306108
2;23;06207;2306207
2;23;06256;2306256
2;23;06306;2306306
2;23;06405;2306405
2;23;06504;2306504
2;23;06553;2306553
2;23;06603;2306603
2;23;06702;2306702
2;23;06801;2306801
2;23;06900;2306900
2;23;07007;2307007
2;23;07106;2307106
2;23;07205;2307205
2;23;07254;2307254
2;23;07304;2307304
2;23;07403;2307403
